id,Pick,Name,Pos,Team,Bye,Overall,Std. Dev,High,Low,Times Drafted
149,12.11,Darren Sproles,RB,PHI,8,143.3,16.7,7.06,15.09,309
150,12.12,Dwayne Allen,TE,IND,10,143.5,18.2,8.03,15.11,368
151,12.12,Victor Cruz,WR,NYG,11,144,18.1,5.12,15.05,111
152,13.02,Los Angeles Defense,DEF,LA,8,146,13.8,10.09,15.12,139
153,13.02,Jerick McKinnon,RB,MIN,6,146.2,16.2,9.09,15.08,272
154,13.03,Marcus Mariota,QB,TEN,13,147,12.9,9.07,15.11,184
155,13.04,James Starks,RB,GB,4,148.2,16.9,4.04,15.12,292
156,13.04,Chris Hogan,WR,NE,9,148.3,17.4,6.08,15.06,92
157,13.04,Alfred Morris,RB,DAL,6,148.5,19.4,7.1,15.12,219
158,13.06,Phillip Dorsett,WR,IND,10,149.5,13.2,10.04,15.11,161
159,13.06,Graham Gano,PK,CAR,7,150.5,13.7,5.04,14.08,116
160,13.07,Steven Hauschka,PK,SEA,9,151,13.2,7.04,15.02,90
161,13.07,Ryan Fitzpatrick,QB,NYJ,11,151.1,13.1,9.02,15.1,206
162,13.08,NY Jets Defense,DEF,NYJ,11,151.8,14.4,9.1,15.12,164
163,13.08,Terrance West,RB,CLE,13,152.4,19.5,8.12,15.12,78
164,13.09,Justin Tucker,PK,BAL,8,153.2,15.1,7.02,15.01,95
165,13.09,Jason Witten,TE,DAL,6,153.3,22.7,7.05,15.12,97
166,13.1,Jared Cook,TE,GB,4,154.3,17.8,10.01,15.11,65
167,13.1,Jordan Howard,RB,CHI,7,154.4,16.6,8.06,15.12,149
168,13.11,Spencer Ware,RB,SEA,9,154.8,18.3,9.07,15.12,124
169,13.11,Eric Ebron,TE,DET,10,155.1,20.2,8.05,15.12,104
170,13.12,Paul Perkins,RB,NYG,11,156.3,17,10.01,15.12,91
171,14.01,Zach Miller,TE,CHI,7,156.6,18,8.1,15.12,103
172,14.02,Darren McFadden,RB,DAL,6,158.2,19.2,7.1,15.12,67
173,14.02,Ryan Tannehill,QB,MIA,8,158.2,11.9,11.03,15.12,121
174,14.02,Mike Wallace,WR,BAL,8,158.3,13.8,10.08,15.12,92
175,14.03,Oakland Defense,DEF,OAK,6,159,12.4,11.03,15.12,174
176,14.03,Chandler Catanzaro,PK,ARI,9,159.2,11,9.04,15.1,102
177,14.04,Tim Hightower,RB,NO,5,159.5,16.2,10.04,15.12,52
178,14.04,Anquan Boldin,WR,SF,8,159.9,13.3,10.06,15.11,85
179,14.06,Josh Ferguson,RB,IND,10,161.6,15.1,11.06,15.12,75
180,14.06,Pierre Garcon,WR,WAS,8,161.6,15.7,9.09,15.12,52
181,14.06,Josh Doctson,WR,WAS,8,161.7,16.1,11.05,15.12,62
182,14.06,New England Defense,DEF,NE,9,161.8,13,5.01,15.12,195
183,14.06,Jay Cutler,QB,CHI,7,161.8,13.3,10.09,15.12,57
184,14.06,Rishard Matthews,WR,TEN,13,161.8,11.9,11.09,15.12,72
185,14.09,Cincinnati Defense,DEF,CIN,9,164.7,10.5,11.01,15.12,180
186,14.09,Mason Crosby,PK,GB,4,164.7,6.4,12.11,15.12,98
187,14.09,Brandon McManus,PK,DEN,11,165.2,9.2,10.09,15.12,81
188,14.09,Dan Bailey,PK,DAL,6,165.4,6.2,13.05,15.11,97
189,14.1,Buffalo Defense,DEF,BUF,10,166.2,9,12.12,15.12,105
190,14.12,Philadelphia Defense,DEF,PHI,8,168.3,9.2,11.04,15.12,62
191,15.01,Sebastian Janikowski,PK,OAK,6,169.4,23.3,1.01,15.12,56
192,15.02,Adam Vinatieri,PK,IND,10,169.9,8.6,11.04,15.12,91
193,15.03,Chris Boswell,PK,PIT,8,170.7,7,12.09,15.12,66
194,15.03,Blair Walsh,PK,MIN,6,171.4,6.3,12.03,15.12,96
195,15.04,Josh Brown,PK,NYG,11,172,5.9,13.04,15.12,108
